tiempo,referencia,hc,f_pid,predicted_hc
23377,25,24.6806949029825,34.8865564283983,24.6389693777455
23378,25,24.6056051825732,42.9399589889106,24.6468630716966
23379,25,24.748894161547,27.5722531065247,24.7236484204214
23380,25,24.8232583653646,19.5967158761433,24.6874108407292
23381,25,24.8057681315612,21.4725600829423,24.5846023081516
23382,25,24.5401902575125,49.9558053518913,24.4925764532783
23383,25,24.695163949481,33.3349201563676,24.6184865461002
23384,25,24.7142653379656,31.2863249264647,24.6288516744984
23385,25,24.4227438157397,62.5520350728248,24.6170370710825
23386,25,24.7336390978345,29.2085703879609,24.8399648921544
23387,25,24.6793169713589,35.0346435170334,24.8236230663098
23388,25,24.7930880041568,22.8327304257264,24.8378112357195
23389,25,24.722100490758,30.4461607081659,24.7628029290726
23390,25,24.6003629832898,43.502534534473,24.7402174376284
23391,25,24.8809073819704,13.4141853818314,24.8187501271336
23392,25,24.7575437658936,26.6449444126826,24.6835303732127
23393,25,24.5736060157796,46.3722909275378,24.6289427303223
23394,25,24.7794759260146,24.2927831785066,24.7284678039707
23395,25,24.5668409676386,47.0979032156492,24.6688197413939
23396,25,24.9105630815913,10.2337472544885,24.7725026290253
23397,25,24.6259736009229,40.7559774721893,24.6384610721587
23398,25,24.5207663851096,52.0394865640474,24.690720405872
23399,25,24.8336769508963,18.4798734793015,24.8376887731088
23400,25,24.8829066123971,13.2000079343499,24.7366654124054
23401,25,24.3967017030601,65.3454954792223,24.5910119291872
23402,25,24.826701385062,19.2280863548911,24.8286467617831
23403,25,24.5812752966442,45.5500506450988,24.7384905120186
23404,25,24.7314995786765,29.4385357991317,24.8279518855931
23405,25,24.7653180277032,25.8115324069081,24.8066613190224
23406,25,24.7187114605518,30.8101088174713,24.7518002551041
23407,25,24.7454170102119,27.9459650856767,24.7331508103816
23408,25,24.6600396953482,37.1027060610674,24.6949162207352
23409,25,24.5583714497257,48.0066573943397,24.7246841587818
23410,25,24.7760479079077,24.6608988115693,24.8396799627336
23411,25,24.7223732008649,30.4175322158001,24.7835219963329
23412,25,24.8013519364573,21.9470889482034,24.7614111404852
23413,25,24.8034704798186,21.7198938654877,24.6777515738679
23414,25,24.6581242913611,37.3082910709796,24.5887983477213
23415,25,24.5347329198921,50.5420478315334,24.6181586707914
23416,25,24.8976304376164,11.6213328372361,24.7533863460027
23417,25,24.2922053849193,76.5531793719679,24.6206140566959
23418,25,24.5873400886656,44.9000489986513,24.9412368589768
23419,25,25.0536160378421,0,25.0464544355588
23420,25,25.098754314231,0,24.9130142843831
23421,25,24.5736731224188,46.365855621876,24.7668225508195
23422,25,24.8396707974071,17.8376450967367,24.8602443165816
23423,25,24.7390162636304,28.6328589312663,24.7522262277357
23424,25,24.734222210832,29.1470456524665,24.7140191272717
23425,25,24.774651760835,24.8110014243262,24.684003642512
23426,25,24.8214322916869,19.7938106957383,24.6213892240294
23427,25,24.7316230570817,29.4258679103606,24.5187506393658
23428,25,24.2409916929651,82.0461069661358,24.4875369550258
23429,25,24.626236709692,40.728650344863,24.8581860482248
23430,25,25.3407156546236,0,24.9353427269803
23431,25,24.8658552460438,15.0295654309105,24.7996636667736
23432,25,24.9518774762811,5.80369386098133,24.6575087452063
23433,25,24.5475137592766,49.1717070380423,24.5099860474471
23434,25,24.6573258301229,37.3944050187392,24.6269530697242
23435,25,24.4799270005852,56.4204617322921,24.6676898631225
23436,25,24.9921055942,1.48935650597721,24.8463953982841
23437,25,24.6485917928939,38.331212438921,24.7164432884365
23438,25,24.6899942662082,33.8908302434659,24.7499947461179
23439,25,24.9057263975218,10.753588331624,24.7594726660339
23440,25,24.406415995323,64.3046378385969,24.6200997502854
23441,25,24.9529013045861,5.69414427638526,24.8494455396804
23442,25,24.7642913354188,25.9225679015657,24.7226306975552
23443,25,24.6871143450526,34.1998222985246,24.6625981967137
23444,25,24.6788845605273,35.0824961314041,24.6697948010465
23445,25,24.8021536534469,21.8619161327383,24.6869180296447
23446,25,24.6675451232175,36.2986996171827,24.6043058780457
23447,25,24.5966725149856,43.8998181340611,24.625998628768
23448,25,24.9153874922586,9.71767477464514,24.710742920052
23449,25,24.4489745595614,59.7404697684499,24.5750904481759
23450,25,24.7753000952901,24.74210791305,24.7709641357799
23451,25,24.6505070903412,38.1261788380762,24.7200284439771
23452,25,24.8081181110059,21.2224297590688,24.7561051070233
23453,25,24.8317627414358,18.6865612015467,24.6700188102901
23454,25,24.459428738032,58.6193988977349,24.5576865619322
23455,25,24.8820017775149,13.2984912809422,24.7470849463776
23456,25,24.6099623108814,42.4747351810236,24.6174982896729
23457,25,24.3592897115322,69.3594081637659,24.6828731051165
23458,25,25.0876080153321,0,24.9596972541108
23459,25,24.7520109850827,27.2401036224025,24.8354115379934
23460,25,24.6682406480711,36.2244956026664,24.7853548241856
23461,25,24.7641535375732,25.937869422119,24.8078323665288
23462,25,25.1432962153396,0,24.7566028201111
23463,25,24.7745555362249,24.8222637757038,24.6140439486686
23464,25,24.4301789662338,61.7566721215709,24.5455509924894
23465,25,24.8409883439484,17.697419981845,24.7611488244973
23466,25,24.7848846592103,23.7145551330013,24.6578151340132
23467,25,24.8357275402222,18.2616763868218,24.5822772506712
23468,25,24.4772247919599,56.7111115959946,24.4673416166039
23469,25,24.7268452244261,29.9393694071439,24.6434648916569
23470,25,24.7669368178632,25.6395717148803,24.6307198343422
23471,25,24.5669142938146,47.0920093503414,24.5746741020133
23472,25,24.74098070039,28.4234279984945,24.6797346240476
23473,25,24.7576692392047,26.6336065843285,24.6516222645434
23474,25,24.7536925265897,27.060131815608,24.6025282190901
23475,25,24.5061151408087,53.6128296181534,24.5559617940289
23476,25,24.9380609684824,7.28668607471769,24.7109975176796
23477,25,25.0191417894063,0,24.5792266799088
23478,25,24.4989757386878,54.3785809974139,24.4309623516106
23479,25,24.6876452781287,34.1438200387583,24.5883463287708
23480,25,24.6260553677575,40.74936731865,24.6067244060625
23481,25,24.6092806389713,42.5484921691575,24.66697550742
23482,25,24.9883247152737,1.89605175242123,24.7429783663232
23483,25,24.6303762081942,40.2860302353391,24.6069637184273
23484,25,24.6782899772875,35.1473132816774,24.6558649783395
23485,25,24.3460412905211,70.7810152102936,24.6759509573547
23486,25,24.9175167790986,9.49033059786393,24.9606089039569
23487,25,24.7180778829863,30.880159967582,24.8368863961769
23488,25,24.9930532449638,1.38907892436293,24.8141188708087
23489,25,24.7341647649449,29.1548690600777,24.6738623134755
23490,25,24.4944940577615,54.8595774205976,24.6382889277165
23491,25,24.77963558946,24.2781957140483,24.8024667228822
23492,25,24.7662697523173,25.7117024838909,24.7461192447446
23493,25,24.9507499044279,5.92622816404135,24.6884304927326
23494,25,24.5873626326201,44.8995176998599,24.5453767640075
23495,25,24.290187727508,76.7715651023173,24.6296441442606
23496,25,24.762559516712,26.1097575035159,24.9635836184484
