tiempo,referencia,hc,f_pid,predicted_hc,hc_dot,predicted_hc_dot,error,F_in,F_out,F_out_hat,F_in_hat,residual
48,25,21.9611550355492,32.3143296770498,21.9982584385624,-0.012595180222399804,0.004386265376775,-0.03710340301319803,97.23681014638039,94.70957820334417,94.7895504235885,97.30179212934523,-0.07997222024432915
52,25,22.1685970962889,32.8659114880032,22.0359952049752,0.051860515184924516,0.009434191603200581,0.1326018913136977,100.23189937985735,95.15583371110955,94.8708186382958,100.28820456425812,0.28501507281374927
56,25,21.9910604999331,30.6525335990157,21.9912240226842,-0.04438414908895005,-0.011192795572750214,-0.00016352275110165237,88.21325744265523,94.77404135068171,94.77439371393324,88.36677867927082,-0.0003523632515225472
60,25,22.0344037898647,32.567270995462,22.0172234221147,0.010835822482900603,0.006499849857624973,0.01718036775000087,98.61028150535866,94.86739284384218,94.83040127060815,98.55802595140365,0.036991573234033126
64,25,22.0515932959964,32.1137398592238,22.0268610652035,0.004297376532925057,0.00240941077220036,0.024732230792899657,96.14760743558521,94.90438966322519,94.8511541500792,96.23384574439726,0.053235513145992286
68,25,21.9778065767329,31.9405449100959,22.029713061407,-0.018446679815875555,0.0007129990508749628,-0.051906484674102416,95.2071588618207,94.74547708047994,94.85729452511615,95.26654381025725,-0.11181744463620191
72,25,22.0560704967486,32.7430052770314,22.0621792349864,0.019565980003925176,0.008116543394849352,-0.006108738237799116,99.56451865428049,94.91402353488674,94.92716651029204,99.59624776709299,-0.013142975405301627
76,25,22.0586358128727,31.915000270908,22.0638470003769,0.0006413290310254283,0.0004169413476251549,-0.005211187504198023,95.06845147103043,94.91954304471003,94.93075439817511,95.17062920386783,-0.01121135346508595
80,25,22.1163096844782,31.8985682061273,22.0644965429185,0.014418467901374576,0.0001623856354004971,0.051813141559698295,94.97922535927124,95.0435489888608,94.93215173177875,95.02557961297855,0.11139725708206072
84,25,21.9818735382618,31.2910872279579,22.0426263275294,-0.033609036554099525,-0.005467553847275042,-0.06075278926759964,91.68060364781137,94.75424293217249,94.88509193748011,91.74404410859638,-0.1308490053076241
88,25,22.071348756532,32.7437691064773,22.0745989979555,0.02236880456754964,0.00799316760652502,-0.0032502414235011656,99.56866624817174,94.9468913585265,94.95388207219774,99.55588292760505,-0.006990713671243043
92,25,22.0870372209094,31.7955076185312,22.0716612190292,0.003922116094350336,-0.0007344447315755787,0.015376001880202494,94.4196063686244,94.98062981135071,94.94756343430454,94.52479749431438,0.03306637704616833
96,25,22.0408129675733,31.6382722813634,22.062505761667,-0.011556063334025701,-0.0022888643405494236,-0.021692794093702616,93.56581848780324,94.88118894601187,94.92786898255378,93.61115928799514,-0.04668003654190045
100,25,22.0167076569813,32.1449917902934,22.0721661635025,-0.0060263276479997074,0.0024151004588750524,-0.055458506521201656,96.31730542129317,94.82929053788621,94.94864950962827,96.33889344592721,-0.11935897174205934
104,25,22.0343019696265,32.4146596263832,22.0918792410523,0.004398578161300293,0.004928269387449724,-0.05757727142579938,97.78160177126075,94.86717365407448,94.99104028233553,97.83179152008931,-0.12386662826105521
108,25,22.0712297611993,32.2371897356425,22.1048497438286,0.009231947893200143,0.003242625694074519,-0.033619982629296885,96.81794026453876,94.94663541014111,95.0189215854048,96.88968524261597,-0.07228617526368453
112,25,22.1254664846868,31.8523020584106,22.1033321923302,0.013559180871874688,-0.00037938787459967926,0.022134292356600582,94.72800017716956,95.06322235974365,95.01565988981677,94.79680275479281,0.04756246992687352
116,25,22.1383465607036,31.2816370901861,22.0805727054131,0.00322001900419977,-0.00568987172927482,0.05777385529049894,91.62928939971052,95.09088829364609,94.96672915367265,91.68949905871037,0.12415913997344319
120,25,22.0835161355395,31.1543180190578,22.053134846641,-0.013707606291024632,-0.006859464693024897,0.030381288898500003,90.93794684348386,94.97305866831873,94.90770682412953,90.9641977330655,0.06535184418919471
124,25,22.0433312413644,31.7531455924877,22.0482021503774,-0.01004622354377549,-0.0012331740659003998,-0.004870909013000357,94.18958056720821,94.88660911783582,94.89709207309232,94.18837814255195,-0.010482955256506443
