tiempo,referencia,hc,f_pid,hc_prev,hc_prev_prev,hc_prev_3,hc_prev_4,freq_prev,freq_prev_prev,freq_prev_3,freq_prev_4,y_hat_1,error
90210,9,26.9920406329489,0.01,28.0008660110514,29.3913486531055,30.45901292437,31.9484531473951,0.01,0.01,0.453338518662341,0.453338518662341,26.731457,0.2605838763571029
90220,9,25.526084829475,0.113334629665585,26.9920406329489,28.0008660110514,29.3913486531055,30.45901292437,0.01,0.01,0.01,0.453338518662341,25.604359,-0.07827384362070333
90230,9,24.2148313963108,0.113334629665585,25.526084829475,26.9920406329489,28.0008660110514,29.3913486531055,0.113334629665585,0.01,0.01,0.01,24.132633,0.08219818708228388
90240,9,22.5239920105875,0.113334629665585,24.2148313963108,25.526084829475,26.9920406329489,28.0008660110514,0.113334629665585,0.113334629665585,0.01,0.01,22.653236,-0.12924437857265758
90250,9,20.9829786403577,0.01,22.5239920105875,24.2148313963108,25.526084829475,26.9920406329489,0.113334629665585,0.113334629665585,0.113334629665585,0.01,20.898218,0.08476048545047377
90260,9,19.28757134736,0.01,20.9829786403577,22.5239920105875,24.2148313963108,25.526084829475,0.01,0.113334629665585,0.113334629665585,0.113334629665585,19.13674,0.15083161652503918
90270,9,17.1425694082199,0.01,19.28757134736,20.9829786403577,22.5239920105875,24.2148313963108,0.01,0.01,0.113334629665585,0.113334629665585,17.278427,-0.13585771580353878
90280,9,14.8998486638227,0.0283336574163963,17.1425694082199,19.28757134736,20.9829786403577,22.5239920105875,0.01,0.01,0.01,0.113334629665585,14.905398,-0.005549705012748873
90290,9,12.4558709890864,0.0283336574163963,14.8998486638227,17.1425694082199,19.28757134736,20.9829786403577,0.0283336574163963,0.01,0.01,0.01,12.349157,0.10671365571237601
90300,9,8.98820114575743,0.0283336574163963,12.4558709890864,14.8998486638227,17.1425694082199,19.28757134736,0.0283336574163963,0.0283336574163963,0.01,0.01,9.422135,-0.43393420733094956
