tiempo,referencia,hc,f_pid,predicted_hc,hc_dot,predicted_hc_dot,hc_prev,hc_prev_prev,hc_prev_3,hc_prev_4,hc_prev_5,hc_prev_6,hc_prev_7,hc_prev_8,hc_prev_9,hc_prev_10,freq_prev,freq_prev_2,freq_prev_3,freq_prev_4,freq_prev_5,freq_prev_6,freq_prev_7,freq_prev_8,freq_prev_9,freq_prev_10,error,F_in,F_out,residual
15130,25,25.1996821032961,0.0,25.29141555405,-0.07988126234619664,-0.07683893101550332,27.596119973682,21.4011210617065,24.3979396475993,23.1473253390785,23.4472402966164,23.6052447165255,23.446263493088,23.5324143171032,25.8073622234553,22.2298292033143,77.1959532263963,12.914194558996,39.739871476766,33.3066956375782,29.9175008305291,33.3276480732631,31.4797128981354,0.0,59.4201635889077,19.6559775747466,-0.0917334507538996,-78.23,101.45275490082507,0.3517843947134676
15147,25,22.5770742161768,0.0,22.7170243222059,-0.0874202629039767,-0.08581304106146999,25.1996821032961,27.596119973682,21.4011210617065,24.3979396475993,23.1473253390785,23.4472402966164,23.6052447165255,23.446263493088,23.5324143171032,25.8073622234553,0.0,77.1959532263963,12.914194558996,39.739871476766,33.3066956375782,29.9175008305291,33.3276480732631,31.4797128981354,0.0,59.4201635889077,-0.13995010602910085,-78.23,96.02849972200723,0.42931505690076427
15164,25,25.3430666505044,51.9717580630071,25.415202100702,0.09219974781092001,0.0899392592832033,22.5770742161768,25.1996821032961,27.596119973682,21.4011210617065,24.3979396475993,23.1473253390785,23.4472402966164,23.6052447165255,23.446263493088,23.5324143171032,0.0,0.0,77.1959532263963,12.914194558996,39.739871476766,33.3066956375782,29.9175008305291,33.3276480732631,31.4797128981354,0.0,-0.07213545019759948,203.9766462821285,101.7409752720372,-0.1496168704433653
15181,25,22.8497034623941,0.0,22.8711304329494,-0.08311210627034336,-0.08480238892508668,25.3430666505044,22.5770742161768,25.1996821032961,27.596119973682,21.4011210617065,24.3979396475993,23.1473253390785,23.4472402966164,23.6052447165255,23.446263493088,51.9717580630071,0.0,0.0,77.1959532263963,12.914194558996,39.739871476766,33.3066956375782,29.9175008305291,33.3276480732631,31.4797128981354,-0.021426970555300073,-78.23,96.60655550201778,0.42354133082532286
15198,25,24.8770018063763,46.1238607316471,24.7920561901164,0.06757661146607331,0.06403085857223338,22.8497034623941,25.3430666505044,22.5770742161768,25.1996821032961,27.596119973682,21.4011210617065,24.3979396475993,23.1473253390785,23.4472402966164,23.6052447165255,0.0,51.9717580630071,0.0,0.0,77.1959532263963,12.914194558996,39.739871476766,33.3066956375782,29.9175008305291,33.3276480732631,0.0849456162598976,172.22256377284373,100.80111414812707,-0.10758094351488266
15215,25,22.1141203711372,2.63831125322755,22.1722219625924,-0.09209604784130328,-0.08732780758413342,24.8770018063763,22.8497034623941,25.3430666505044,22.5770742161768,25.1996821032961,27.596119973682,21.4011210617065,24.3979396475993,23.1473253390785,23.4472402966164,46.1238607316471,0.0,51.9717580630071,0.0,0.0,77.1959532263963,12.914194558996,39.739871476766,33.3066956375782,29.9175008305291,-0.05810159145519833,-63.90396989497441,95.03884464933694,0.39825370209635574
15232,25,26.0942832970265,61.9021180391074,26.2173002023375,0.13267209752964332,0.13483594132483673,22.1141203711372,24.8770018063763,22.8497034623941,25.3430666505044,22.5770742161768,25.1996821032961,27.596119973682,21.4011210617065,24.3979396475993,23.1473253390785,2.63831125322755,46.1238607316471,0.0,51.9717580630071,0.0,0.0,77.1959532263963,12.914194558996,39.739871476766,33.3066956375782,-0.12301690531100107,257.8985009523531,103.2378615450699,-0.21287125915381855
15249,25,23.8238157933233,0.0,23.7661844959817,-0.07568225012344006,-0.08170385687852667,26.0942832970265,22.1141203711372,24.8770018063763,22.8497034623941,25.3430666505044,22.5770742161768,25.1996821032961,27.596119973682,21.4011210617065,24.3979396475993,61.9021180391074,2.63831125322755,46.1238607316471,0.0,51.9717580630071,0.0,0.0,77.1959532263963,12.914194558996,39.739871476766,0.05763129734159733,-78.23,98.64429532552666,0.3974853585047511
15266,25,22.7619425842839,25.2291512332154,22.7063645432103,-0.03539577363464659,-0.035327331759046746,23.8238157933233,26.0942832970265,22.1141203711372,24.8770018063763,22.8497034623941,25.3430666505044,22.5770742161768,25.1996821032961,27.596119973682,21.4011210617065,0.0,61.9021180391074,2.63831125322755,46.1238607316471,0.0,51.9717580630071,0.0,0.0,77.1959532263963,12.914194558996,0.05557804107360198,58.76429119635962,96.42085434743623,0.07435707501030878
15283,25,24.9219187118529,48.0063315671105,24.9042652948408,0.07199920425229997,0.07326335838768341,22.7619425842839,23.8238157933233,26.0942832970265,22.1141203711372,24.8770018063763,22.8497034623941,25.3430666505044,22.5770742161768,25.1996821032961,27.596119973682,25.2291512332154,0.0,61.9021180391074,2.63831125322755,46.1238607316471,0.0,51.9717580630071,0.0,0.0,77.1959532263963,0.01765341701209877,182.44438040940997,100.89207430980849,-0.1272903914302325
15300,25,21.9831770155133,1.67484363075491,22.2987306068112,-0.09795805654465338,-0.08685115626765333,24.9219187118529,22.7619425842839,23.8238157933233,26.0942832970265,22.1141203711372,24.8770018063763,22.8497034623941,25.3430666505044,22.5770742161768,25.1996821032961,48.0063315671105,25.2291512332154,0.0,61.9021180391074,2.63831125322755,46.1238607316471,0.0,51.9717580630071,0.0,0.0,-0.3155535912979026,-69.13559908500085,94.75705225070065,0.41350781119205204
15317,25,26.8182331389246,64.7108530172398,26.6421782004339,0.1611685374470434,0.14478158645408995,21.9831770155133,24.9219187118529,22.7619425842839,23.8238157933233,26.0942832970265,22.1141203711372,24.8770018063763,22.8497034623941,25.3430666505044,22.5770742161768,1.67484363075491,48.0063315671105,25.2291512332154,0.0,61.9021180391074,2.63831125322755,46.1238607316471,0.0,51.9717580630071,0.0,0.17605493849070086,273.14993188361206,104.6601600324509,-0.19576772123900982
15334,25,24.1492642138002,0.0,24.2369647366595,-0.08896563083747999,-0.0801737821258134,26.8182331389246,21.9831770155133,24.9219187118529,22.7619425842839,23.8238157933233,26.0942832970265,22.1141203711372,24.8770018063763,22.8497034623941,25.3430666505044,64.7108530172398,1.67484363075491,48.0063315671105,25.2291512332154,0.0,61.9021180391074,2.63831125322755,46.1238607316471,0.0,51.9717580630071,-0.08770052285929708,-78.23,99.31578166368037,0.374003743071486
15351,25,22.0373077343439,18.2482826139852,22.1403582933286,-0.07039854931520999,-0.0698868814443633,24.1492642138002,26.8182331389246,21.9831770155133,24.9219187118529,22.7619425842839,23.8238157933233,26.0942832970265,22.1141203711372,24.8770018063763,22.8497034623941,0.0,64.7108530172398,1.67484363075491,48.0063315671105,25.2291512332154,0.0,61.9021180391074,2.63831125322755,46.1238607316471,0.0,-0.10305055898469817,20.858174593939623,94.87364399018904,0.15928304670390442
15368,25,26.0506266323339,63.5497490983225,26.3919541503848,0.13377729659966656,0.1417198619018734,22.0373077343439,24.1492642138002,26.8182331389246,21.9831770155133,24.9219187118529,22.7619425842839,23.8238157933233,26.0942832970265,22.1141203711372,24.8770018063763,18.2482826139852,0.0,64.7108530172398,1.67484363075491,48.0063315671105,25.2291512332154,0.0,61.9021180391074,2.63831125322755,46.1238607316471,-0.3413275180509032,266.84513760389115,103.15146508547348,-0.23311297388940325
15385,25,23.7318042505538,0.0,23.960088340005,-0.07729407939266994,-0.0810621936793267,26.0506266323339,22.0373077343439,24.1492642138002,26.8182331389246,21.9831770155133,24.9219187118529,22.7619425842839,23.8238157933233,26.0942832970265,22.1141203711372,63.5497490983225,18.2482826139852,0.0,64.7108530172398,1.67484363075491,48.0063315671105,25.2291512332154,0.0,61.9021180391074,2.63831125322755,-0.2282840894512006,-78.23,98.45362069773576,0.39889855317714573
15402,25,22.977769647022,27.2027988256201,23.1901456585422,-0.02513448678439332,-0.02566475604876004,23.7318042505538,26.0506266323339,22.0373077343439,24.1492642138002,26.8182331389246,21.9831770155133,24.9219187118529,22.7619425842839,23.8238157933233,26.0942832970265,0.0,63.5497490983225,18.2482826139852,0.0,64.7108530172398,1.67484363075491,48.0063315671105,25.2291512332154,0.0,61.9021180391074,-0.21237601152019892,69.48119762311713,96.87690356057641,0.05326449959460831
15419,25,24.8369177181307,43.3768410713772,24.7080318474638,0.06197160237028996,0.050596206297386696,22.977769647022,23.7318042505538,26.0506266323339,22.0373077343439,24.1492642138002,26.8182331389246,21.9831770155133,24.9219187118529,22.7619425842839,23.8238157933233,27.2027988256201,0.0,63.5497490983225,18.2482826139852,0.0,64.7108530172398,1.67484363075491,48.0063315671105,25.2291512332154,0.0,0.12888587066689894,157.3062470175782,100.71987144628386,-0.077254145626692
15436,25,22.0526020493237,3.49811494609558,22.0768032542052,-0.09281052229356668,-0.08770761977528671,24.8369177181307,22.977769647022,23.7318042505538,26.0506266323339,22.0373077343439,24.1492642138002,26.8182331389246,21.9831770155133,24.9219187118529,22.7619425842839,43.3768410713772,27.2027988256201,0.0,63.5497490983225,18.2482826139852,0.0,64.7108530172398,1.67484363075491,48.0063315671105,25.2291512332154,-0.024201204881499905,-59.235235842701,94.90656034592222,0.38526441205456624
