tiempo,referencia,hc,f_pid,hc_prev,hc_prev_prev,hc_prev_3,hc_prev_4,freq_prev,freq_prev_prev,freq_prev_3,freq_prev_4,y_hat_1
28420,11,37.2582733124725,0.01,38.2835484669921,37.9236160864586,37.7265601043295,37.5580937379946,43.0261850194948,43.0261850194948,43.0261850194948,0.01,37.38296127319336
28430,11,36.2791826139283,0.01,37.2582733124725,38.2835484669921,37.9236160864586,37.7265601043295,0.01,43.0261850194948,43.0261850194948,43.0261850194948,36.2676887512207
28440,11,35.2724153623019,0.01,36.2791826139283,37.2582733124725,38.2835484669921,37.9236160864586,0.01,0.01,43.0261850194948,43.0261850194948,35.281612396240234
28450,11,34.3189658393347,10.7565462548737,35.2724153623019,36.2791826139283,37.2582733124725,38.2835484669921,0.01,0.01,0.01,43.0261850194948,34.254737854003906
28460,11,33.3208340562936,10.7565462548737,34.3189658393347,35.2724153623019,36.2791826139283,37.2582733124725,10.7565462548737,0.01,0.01,0.01,33.294105529785156
28470,11,32.1624478353216,10.7565462548737,33.3208340562936,34.3189658393347,35.2724153623019,36.2791826139283,10.7565462548737,10.7565462548737,0.01,0.01,32.280433654785156
28480,11,31.0522856552709,0.01,32.1624478353216,33.3208340562936,34.3189658393347,35.2724153623019,10.7565462548737,10.7565462548737,10.7565462548737,0.01,30.998004913330078
28490,11,29.8627467074625,0.01,31.0522856552709,32.1624478353216,33.3208340562936,34.3189658393347,0.01,10.7565462548737,10.7565462548737,10.7565462548737,29.853511810302734
28500,11,28.7046359429238,0.01,29.8627467074625,31.0522856552709,32.1624478353216,33.3208340562936,0.01,0.01,10.7565462548737,10.7565462548737,28.588991165161133
28510,11,27.4732641550169,2.68913656371843,28.7046359429238,29.8627467074625,31.0522856552709,32.1624478353216,0.01,0.01,0.01,10.7565462548737,27.448680877685547
28520,11,26.0318491318152,2.68913656371843,27.4732641550169,28.7046359429238,29.8627467074625,31.0522856552709,2.68913656371843,0.01,0.01,0.01,26.186813354492188
28530,11,24.6350311988931,2.68913656371843,26.0318491318152,27.4732641550169,28.7046359429238,29.8627467074625,2.68913656371843,2.68913656371843,0.01,0.01,24.62385368347168
28540,11,23.0355147531484,0.01,24.6350311988931,26.0318491318152,27.4732641550169,28.7046359429238,2.68913656371843,2.68913656371843,2.68913656371843,0.01,23.07278060913086
28550,11,21.4457006508104,0.01,23.0355147531484,24.6350311988931,26.0318491318152,27.4732641550169,0.01,2.68913656371843,2.68913656371843,2.68913656371843,21.31937026977539
28560,11,19.753702410571,0.01,21.4457006508104,23.0355147531484,24.6350311988931,26.0318491318152,0.01,0.01,2.68913656371843,2.68913656371843,19.6652889251709
28570,11,17.6695805187776,0.672284140929607,19.753702410571,21.4457006508104,23.0355147531484,24.6350311988931,0.01,0.01,0.01,2.68913656371843,17.856897354125977
