tiempo,referencia,hc,f_pid,hc_prev,hc_prev_prev,hc_prev_3,hc_prev_4,freq_prev,freq_prev_prev,freq_prev_3,freq_prev_4,y_hat_1,error
1200,2,27.6328371962018,60.9802167890597,25.4169053805202,23.1069253398042,20.4047542073422,22.042684633221,60.9802167890597,60.9802167890597,0.01,0.01,27.011408,0.6214293440289467
1210,2,26.3364384073825,0.01,27.6328371962018,25.4169053805202,23.1069253398042,20.4047542073422,60.9802167890597,60.9802167890597,60.9802167890597,0.01,26.257408,0.07903026529265489
1220,2,24.6910047394089,0.01,26.3364384073825,27.6328371962018,25.4169053805202,23.1069253398042,0.01,60.9802167890597,60.9802167890597,60.9802167890597,24.958012,-0.2670068877883658
1230,2,23.42745381851,0.01,24.6910047394089,26.3364384073825,27.6328371962018,25.4169053805202,0.01,0.01,60.9802167890597,60.9802167890597,23.258564,0.16888982314867107
1240,2,21.2948801822346,15.2450541972649,23.42745381851,24.6910047394089,26.3364384073825,27.6328371962018,0.01,0.01,0.01,60.9802167890597,22.067009,-0.7721287899333689
1250,2,19.8807438677619,15.2450541972649,21.2948801822346,23.42745381851,24.6910047394089,26.3364384073825,15.2450541972649,0.01,0.01,0.01,19.589184,0.2915600603888535
1260,2,18.1909423280631,15.2450541972649,19.8807438677619,21.2948801822346,23.42745381851,24.6910047394089,15.2450541972649,15.2450541972649,0.01,0.01,18.371286,-0.18034406414881232
1270,2,16.1219077125066,0.01,18.1909423280631,19.8807438677619,21.2948801822346,23.42745381851,15.2450541972649,15.2450541972649,15.2450541972649,0.01,16.09573,0.02617788462574211
1280,2,13.6409659342902,0.01,16.1219077125066,18.1909423280631,19.8807438677619,21.2948801822346,0.01,15.2450541972649,15.2450541972649,15.2450541972649,13.723595,-0.08262873123714343
1290,2,10.5861317230646,0.01,13.6409659342902,16.1219077125066,18.1909423280631,19.8807438677619,0.01,0.01,15.2450541972649,15.2450541972649,10.8823805,-0.2962487624700678
1300,2,7.24816333060077,3.81126354931623,10.5861317230646,13.6409659342902,16.1219077125066,18.1909423280631,0.01,0.01,0.01,15.2450541972649,7.0834613,0.1647020459633186
1310,2,1.65368623072023,3.81126354931623,7.24816333060077,10.5861317230646,13.6409659342902,16.1219077125066,3.81126354931623,0.01,0.01,0.01,1.9919075,-0.3382212466586152
1320,2,0.138243171498834,3.81126354931623,1.65368623072023,7.24816333060077,10.5861317230646,13.6409659342902,3.81126354931623,3.81126354931623,0.01,0.01,0.0,0.138243171498834
1330,2,9.20181415896856,37.4220881002379,0.138243171498834,1.65368623072023,7.24816333060077,10.5861317230646,3.81126354931623,3.81126354931623,3.81126354931623,0.01,9.383936,-0.18212176937616675
1340,2,12.028806484323,37.4220881002379,9.20181415896856,0.138243171498834,1.65368623072023,7.24816333060077,37.4220881002379,3.81126354931623,3.81126354931623,3.81126354931623,11.966236,0.06257036982104758
1350,2,13.9624750410856,37.4220881002379,12.028806484323,9.20181415896856,0.138243171498834,1.65368623072023,37.4220881002379,37.4220881002379,3.81126354931623,3.81126354931623,13.771382,0.1910927092374557
1360,2,11.2855756659274,0.01,13.9624750410856,12.028806484323,9.20181415896856,0.138243171498834,37.4220881002379,37.4220881002379,37.4220881002379,3.81126354931623,11.137469,0.1481063742403883
1370,2,7.13680034246986,0.01,11.2855756659274,13.9624750410856,12.028806484323,9.20181415896856,0.01,37.4220881002379,37.4220881002379,37.4220881002379,7.933971,-0.7971705857222791
1380,2,2.32526091469958,0.01,7.13680034246986,11.2855756659274,13.9624750410856,12.028806484323,0.01,0.01,37.4220881002379,37.4220881002379,2.1283495,0.19691137208178233
1390,2,0.0584993362367525,9.35552202505946,2.32526091469958,7.13680034246986,11.2855756659274,13.9624750410856,0.01,0.01,0.01,37.4220881002379,0.0,0.0584993362367525
1400,2,-0.204207321564616,9.35552202505946,0.0584993362367525,2.32526091469958,7.13680034246986,11.2855756659274,9.35552202505946,0.01,0.01,0.01,0.0,-0.204207321564616
1410,2,0.315332265457081,9.35552202505946,-0.204207321564616,0.0584993362367525,2.32526091469958,7.13680034246986,9.35552202505946,9.35552202505946,0.01,0.01,0.0,0.315332265457081
1420,2,7.05270528162254,30.8219652578855,0.315332265457081,-0.204207321564616,0.0584993362367525,2.32526091469958,9.35552202505946,9.35552202505946,9.35552202505946,0.01,7.667009,-0.6143035951779972
1430,2,8.83123616679026,30.8219652578855,7.05270528162254,0.315332265457081,-0.204207321564616,0.0584993362367525,30.8219652578855,9.35552202505946,9.35552202505946,9.35552202505946,9.240644,-0.40940828816579433
1440,2,10.5452972741732,30.8219652578855,8.83123616679026,7.05270528162254,0.315332265457081,-0.204207321564616,30.8219652578855,30.8219652578855,9.35552202505946,9.35552202505946,10.142747,0.4025503488191955
1450,2,6.79581643431433,0.01,10.5452972741732,8.83123616679026,7.05270528162254,0.315332265457081,30.8219652578855,30.8219652578855,30.8219652578855,9.35552202505946,6.7675986,0.028217805316526956
1460,2,1.21385245944143,0.01,6.79581643431433,10.5452972741732,8.83123616679026,7.05270528162254,0.01,30.8219652578855,30.8219652578855,30.8219652578855,1.3536155,-0.1397630629432136
1470,2,0.321722683865689,0.01,1.21385245944143,6.79581643431433,10.5452972741732,8.83123616679026,0.01,0.01,30.8219652578855,30.8219652578855,0.0,0.321722683865689
1480,2,10.572532067537,43.0487755528316,0.321722683865689,1.21385245944143,6.79581643431433,10.5452972741732,0.01,0.01,0.01,30.8219652578855,10.431565,0.1409667828079968
1490,2,13.770665032309,43.0487755528316,10.572532067537,0.321722683865689,1.21385245944143,6.79581643431433,43.0487755528316,0.01,0.01,0.01,13.739072,0.031593186300698406
1500,2,16.1793302996406,43.0487755528316,13.770665032309,10.572532067537,0.321722683865689,1.21385245944143,43.0487755528316,43.0487755528316,0.01,0.01,15.782528,0.39680237605661617
1510,2,13.7064524181722,0.01,16.1793302996406,13.770665032309,10.572532067537,0.321722683865689,43.0487755528316,43.0487755528316,43.0487755528316,0.01,13.907136,-0.2006835452677418
1520,2,11.1884677089863,0.01,13.7064524181722,16.1793302996406,13.770665032309,10.572532067537,0.01,43.0487755528316,43.0487755528316,43.0487755528316,10.965519,0.22294875757028443
1530,2,7.33769117728916,0.01,11.1884677089863,13.7064524181722,16.1793302996406,13.770665032309,0.01,0.01,43.0487755528316,43.0487755528316,7.8553042,-0.5176130638912602
1540,2,2.56553024540786,10.7621938882079,7.33769117728916,11.1884677089863,13.7064524181722,16.1793302996406,0.01,0.01,0.01,43.0487755528316,2.0664887,0.499041502579491
1550,2,0.514662715790661,10.7621938882079,2.56553024540786,7.33769117728916,11.1884677089863,13.7064524181722,10.7621938882079,0.01,0.01,0.01,0.0,0.514662715790661
1560,2,-0.359416479298077,10.7621938882079,0.514662715790661,2.56553024540786,7.33769117728916,11.1884677089863,10.7621938882079,10.7621938882079,0.01,0.01,0.0,-0.359416479298077
1570,2,10.8905945008241,44.5222635693531,-0.359416479298077,0.514662715790661,2.56553024540786,7.33769117728916,10.7621938882079,10.7621938882079,10.7621938882079,0.01,10.762907,0.12768747262585833
1580,2,14.0268566676059,44.5222635693531,10.8905945008241,-0.359416479298077,0.514662715790661,2.56553024540786,44.5222635693531,10.7621938882079,10.7621938882079,10.7621938882079,14.139632,-0.11277555743072121
1590,2,16.5813520749185,44.5222635693531,14.0268566676059,10.8905945008241,-0.359416479298077,0.514662715790661,44.5222635693531,44.5222635693531,10.7621938882079,10.7621938882079,16.097462,0.4838903744790457
1600,0,14.4567318196793,0.01,16.5813520749185,14.0268566676059,10.8905945008241,-0.359416479298077,44.5222635693531,44.5222635693531,44.5222635693531,10.7621938882079,14.411106,0.045625710060159363
1610,0,11.6271563261738,0.01,14.4567318196793,16.5813520749185,14.0268566676059,10.8905945008241,0.01,44.5222635693531,44.5222635693531,44.5222635693531,11.811484,-0.1843280106792271
1620,0,8.53215594342851,0.01,11.6271563261738,14.4567318196793,16.5813520749185,14.0268566676059,0.01,0.01,44.5222635693531,44.5222635693531,8.309235,0.22292132428788491
1630,0,3.90157196684432,11.1305658923383,8.53215594342851,11.6271563261738,14.4567318196793,16.5813520749185,0.01,0.01,0.01,44.5222635693531,4.1802115,-0.2786395771925454
1640,0,-0.744397307447177,11.1305658923383,3.90157196684432,8.53215594342851,11.6271563261738,14.4567318196793,11.1305658923383,0.01,0.01,0.01,0.0,-0.744397307447177
1650,0,0.0612877078241077,11.1305658923383,-0.744397307447177,3.90157196684432,8.53215594342851,11.6271563261738,11.1305658923383,11.1305658923383,0.01,0.01,0.0,0.0612877078241077
1660,0,0.212331264208851,0.01,0.0612877078241077,-0.744397307447177,3.90157196684432,8.53215594342851,11.1305658923383,11.1305658923383,11.1305658923383,0.01,0.0,0.212331264208851
1670,0,0.436606645355045,0.01,0.212331264208851,0.0612877078241077,-0.744397307447177,3.90157196684432,0.01,11.1305658923383,11.1305658923383,11.1305658923383,0.0,0.436606645355045
1680,0,0.295541131494681,0.01,0.436606645355045,0.212331264208851,0.0612877078241077,-0.744397307447177,0.01,0.01,11.1305658923383,11.1305658923383,0.0,0.295541131494681
1690,0,0.119310013218336,2.78264147308457,0.295541131494681,0.436606645355045,0.212331264208851,0.0612877078241077,0.01,0.01,0.01,11.1305658923383,0.0,0.119310013218336
