tiempo,referencia,hc,f_pid,predicted_hc
44686,25,21.8147383199953,28.2855596181994,21.9324482874421
44687,25,21.5402028647548,28.2855596181994,21.8987155681733
44688,25,21.7453476104518,28.2855596181994,21.8650329204089
44689,25,21.8457161567684,28.2855596181994,21.8314006846337
44690,25,21.7560733944859,28.2855596181994,21.7978192016832
44691,25,21.8256842620202,28.2855596181994,21.7642888127246
44692,25,21.3979890417959,28.2855596181994,21.7308098592371
44693,25,21.5824711634212,28.2855596181994,21.6973826829918
44694,25,21.4645579316337,28.2855596181994,21.6640076260316
44695,25,21.638444851325,28.2855596181994,21.630685030651
44696,25,21.5582107390142,28.2855596181994,21.5974152393752
44697,25,21.4993171040736,28.2855596181994,21.5641985949395
44698,25,21.426363117088,28.2855596181994,21.5310354402679
44699,25,21.3821553208381,28.2855596181994,21.4979261184519
44700,25,21.2261037636324,28.2855596181994,21.4648709727288
44701,25,21.3418267408219,40.4750371350428,21.5453988297613
44702,25,21.3607381007742,40.4750371350428,21.6310724838332
44703,25,21.3457193424164,40.4750371350428,21.7159113512309
44704,25,21.7432407249809,40.4750371350428,21.7999324378729
44705,25,21.8862801878787,40.4750371350428,21.8831522129047
44706,25,21.5516194944412,40.4750371350428,21.9655866315714
44707,25,21.9616393874913,40.4750371350428,22.0472511568688
44708,25,22.020806920001,40.4750371350428,22.1281607800493
44709,25,22.3699182519311,40.4750371350428,22.2083300400565
44710,25,22.1596998244623,40.4750371350428,22.287773041955
44711,25,22.1264208141438,40.4750371350428,22.366503474418
44712,25,22.2312276291118,40.4750371350428,22.4445346263303
44713,25,22.420567482275,40.4750371350428,22.5218794025602
44714,25,22.2595830455478,40.4750371350428,22.5985503389507
44715,25,22.7286361759723,40.4750371350428,22.6745596165756
44716,25,22.4655548960077,40.4750371350428,22.749919075305
44717,25,22.8875160685866,40.4750371350428,22.8246402267185
44718,25,22.397215044971,40.4750371350428,22.8987342664052
44719,25,23.0894179689501,40.4750371350428,22.9722120856857
44720,25,22.8727508416131,40.4750371350428,23.0450842827866
44721,25,22.948539073955,40.4750371350428,23.1173611735007
44722,25,22.9021790966662,40.4750371350428,23.1890528013597
44723,25,23.1703174325452,40.4750371350428,23.2601689473469
44724,25,23.3966168118149,40.4750371350428,23.3307191391744
44725,25,23.1109647288506,40.4750371350428,23.4007126601486
44726,25,23.4218445560611,40.4750371350428,23.4701585576457
44727,25,23.4557598955562,40.4750371350428,23.539065651218
44728,25,23.6229443611429,40.4750371350428,23.6074425403503
44729,25,23.6641385831068,40.4750371350428,23.6752976118843
44730,25,23.6269250577375,40.4750371350428,23.7426390471281
44731,25,23.5402754878603,14.7262287557655,23.6026479536843
44732,25,23.4223956696351,14.7262287557655,23.4507979086581
44733,25,22.9867896613904,14.7262287557655,23.2979452856056
44734,25,22.9432715028754,14.7262287557655,23.1440720990792
44735,25,22.8312064321923,14.7262287557655,22.9891598314324
44736,25,22.7395428427551,14.7262287557655,22.8331894107172
